event_id,event_type,start_date,end_date,affected_products,affected_categories,affected_suppliers,demand_multiplier,cost_multiplier,description
EVT0001,festival_promotion,2024-08-11,2024-08-16,,,,1.35,1.0,Independence Day Sale 2024
EVT0002,festival_promotion,2024-09-02,2024-09-09,,televisions|speakers|smartphones,,1.2,1.0,Ganesh Chaturthi Rush 2024
EVT0029,demand_spike,2024-09-22,2024-10-01,,cables,,1.346,1.0,Unexplained demand spike in cables
EVT0003,festival_promotion,2024-09-23,2024-10-04,,,,1.3,1.0,Navratri-Dussehra Season 2024
EVT0026,product_launch,2024-10-10,2024-10-29,PRD00080,,,1.505,1.0,Launch push for Aurex Wireless Keyboards AU908
EVT0004,festival_promotion,2024-10-20,2024-11-03,,,,1.75,1.0,Diwali Mega Sale 2024
EVT0025,store_closure,2024-12-11,2024-12-13,,,,0.0,1.0,Unscheduled store closure
EVT0005,festival_promotion,2024-12-19,2024-12-28,,,,1.3,1.0,Christmas-New Year Sale 2024
EVT0022,product_discontinuation,2025-01-03,2025-01-19,PRD00165,,,0.563,1.0,Clearance/discontinuation push for Drift Online Ups Devices DR687
EVT0018,demand_spike,2025-01-20,2025-02-06,,storage_devices,,1.473,1.0,Unexplained demand spike in storage_devices
EVT0006,festival_promotion,2025-01-23,2025-01-27,,,,1.25,1.0,Republic Day Sale 2025
EVT0007,festival_promotion,2025-03-12,2025-03-15,,,,1.15,1.0,Holi Offers 2025
EVT0028,unusual_expense,2025-04-03,2025-04-04,,,,1.0,1.0,One-off unusual business expense (see bank_transactions)
EVT0015,unusual_expense,2025-04-27,2025-04-30,,,,1.0,1.0,One-off unusual business expense (see bank_transactions)
EVT0024,product_discontinuation,2025-05-08,2025-05-16,PRD00120,,,0.271,1.0,Clearance/discontinuation push for Halo Wireless-Pad Chargers HA699
EVT0021,demand_decline,2025-06-07,2025-06-23,,routers,,0.662,1.0,Demand softness in routers
EVT0016,temporary_supplier_shortage,2025-07-20,2025-07-29,,,SUP001,0.798,1.129,Temporary shortage from Skyline Communications 001
EVT0020,customer_acquisition_campaign,2025-07-21,2025-08-02,,,,1.114,1.0,Customer acquisition / marketing campaign
EVT0017,unusual_expense,2025-07-29,2025-08-17,,,,1.0,1.0,One-off unusual business expense (see bank_transactions)
EVT0030,unusual_expense,2025-07-30,2025-07-31,,,,1.0,1.0,One-off unusual business expense (see bank_transactions)
EVT0008,festival_promotion,2025-08-11,2025-08-16,,,,1.35,1.0,Independence Day Sale 2025
EVT0009,festival_promotion,2025-08-22,2025-08-29,,televisions|speakers|smartphones,,1.2,1.0,Ganesh Chaturthi Rush 2025
EVT0010,festival_promotion,2025-09-12,2025-09-23,,,,1.3,1.0,Navratri-Dussehra Season 2025
EVT0011,festival_promotion,2025-10-09,2025-10-23,,,,1.75,1.0,Diwali Mega Sale 2025
EVT0023,staff_change,2025-10-11,2025-10-25,,,,0.999,1.0,Sales staff turnover/training period
EVT0027,store_closure,2025-12-15,2025-12-16,,,,0.0,1.0,Unscheduled store closure
EVT0012,festival_promotion,2025-12-19,2025-12-28,,,,1.3,1.0,Christmas-New Year Sale 2025
EVT0013,festival_promotion,2026-01-23,2026-01-27,,,,1.25,1.0,Republic Day Sale 2026
EVT0019,product_discontinuation,2026-02-18,2026-02-24,PRD00044,,,0.552,1.0,Clearance/discontinuation push for Zenith Neckband Earbuds ZE358
EVT0014,festival_promotion,2026-03-02,2026-03-05,,,,1.15,1.0,Holi Offers 2026
